Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,6.851563,6.890625,6.843750,6.851563,1.471232,72000
1970-01-05,6.859375,6.898438,6.859375,6.890625,1.479620,446400
1970-01-06,6.890625,6.960938,6.882813,6.960938,1.494717,176000
1970-01-07,6.960938,7.015625,6.945313,7.000000,1.503106,164800
1970-01-08,7.000000,7.109375,6.984375,7.093750,1.523237,304000
1970-01-09,7.093750,7.117188,7.039063,7.078125,1.519881,139200
1970-01-12,7.078125,7.085938,7.031250,7.085938,1.521558,118400
1970-01-13,7.085938,7.125000,7.062500,7.062500,1.516526,262400
1970-01-14,7.070313,7.171875,7.070313,7.140625,1.533301,377600
1970-01-15,7.109375,7.109375,7.000000,7.000000,1.503106,169600
1970-01-16,7.000000,7.046875,6.828125,6.953125,1.493040,289600
1970-01-19,6.875000,6.875000,6.781250,6.812500,1.462843,179200
1970-01-20,6.812500,6.867188,6.781250,6.867188,1.474588,172800
1970-01-21,6.867188,6.867188,6.804688,6.851563,1.471232,272000
1970-01-22,6.851563,6.906250,6.835938,6.890625,1.479620,318400
1970-01-23,6.890625,6.914063,6.820313,6.820313,1.464523,176000
1970-01-26,6.820313,6.867188,6.750000,6.789063,1.457812,278400
1970-01-27,6.789063,6.796875,6.578125,6.578125,1.412517,217600
1970-01-28,6.578125,6.640625,6.531250,6.539063,1.404129,344000
1970-01-29,6.531250,6.531250,6.437500,6.437500,1.382321,296000
1970-01-30,6.437500,6.437500,6.226563,6.273438,1.347092,430400
1970-02-02,6.273438,6.281250,6.226563,6.273438,1.347092,340800
1970-02-03,6.273438,6.468750,6.273438,6.437500,1.382321,692800
1970-02-04,6.437500,6.437500,6.265625,6.304688,1.353802,392000
1970-02-05,6.304688,6.304688,6.250000,6.281250,1.348768,292800
1970-02-06,6.281250,6.304688,6.250000,6.265625,1.345414,313600
1970-02-09,6.273438,6.367188,6.273438,6.328125,1.358834,283200
1970-02-10,6.328125,6.359375,6.296875,6.351563,1.363867,267200
1970-02-11,6.351563,6.382813,6.328125,6.335938,1.360513,392000
1970-02-12,6.382813,6.453125,6.382813,6.453125,1.385675,217600
1970-02-13,6.453125,6.492188,6.429688,6.476563,1.390709,148800
